run,Ps3,Ps4,BCM1I,BCM2I,BCM4AI,BCM4CI,BCM1Q,BCM2Q,BCM4AQ,BCM4CQ,Ps3HMSCLT,Ps4HMSCLT,trkEff,hTRIG3,hTRIG4
5457.0,-1.0,1.0,9.933,9.988,9.922,11.611,17204.32,17299.172,17185.472,20110.9,-0.4362,0.9991,0.9964,3850415.0,1680110.0
3202.0,-1.0,1.0,23.341,23.319,23.133,26.509,55900.78,55847.95,55401.73,63487.701,-0.786,0.9888,0.9977,10756036.0,8549818.0
4540.0,-1.0,1.0,27.902,28.088,28.14,32.934,36267.792,36509.644,36578.045,42809.488,-0.5836,0.9987,0.994,1529971.0,892720.0
2315.0,-1.0,-1.0,17.59,18.109,17.975,18.211,15953.293,16424.373,16302.648,16516.465,-0.1682,-0.2531,0.9977,3324242.0,2206879.0
3841.0,-1.0,-1.0,36.263,36.361,36.488,42.793,30084.289,30165.227,30270.516,35501.335,-0.0233,-0.028,0.9934,14797970.0,12285512.0
2956.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008,-0.0009,0.0,0.0,0.0
5339.0,-1.0,1.0,14.401,14.428,14.352,16.795,25263.501,25310.684,25178.168,29464.058,-0.4328,0.9974,0.9972,5649083.0,2449650.0
6000.0,-1.0,3.0,16.402,16.351,16.155,22.968,13745.691,13702.659,13538.051,19248.106,-0.0809,0.9991,0.9967,2489629.0,604514.0
1742.0,-1.0,-1.0,27.087,27.271,27.435,27.478,19736.083,19869.817,19989.511,20021.1,-0.0183,-0.0219,0.9972,10134178.0,8457139.0
3071.0,-1.0,-1.0,30.788,30.807,30.678,35.371,32096.919,32116.129,31981.654,36874.592,-0.2111,-0.3481,0.9975,9786137.0,5932824.0
4733.0,-1.0,1.0,11.231,11.357,11.297,13.195,18809.368,19021.323,18920.737,22099.131,-0.2419,0.9998,0.9968,2674446.0,638064.0
2166.0,3.0,-1.0,6.588,6.936,6.92,6.919,590.311,621.558,620.06,620.011,0.9866,-0.332,0.9972,1062083.0,846091.0
4696.0,-1.0,1.0,11.329,11.485,11.457,13.382,9480.726,9611.078,9587.343,11198.012,-0.2408,0.9976,0.9966,1349281.0,322546.0
5781.0,-1.0,1.0,20.173,20.061,19.799,28.197,36194.779,35993.825,35523.116,50590.179,-0.2444,1.0,0.9973,909278.0,221412.0
2608.0,-1.0,-1.0,14.245,14.234,14.18,14.372,53165.267,53126.06,52922.126,53639.033,-0.3816,-0.536,0.9976,14528784.0,10340918.0
6273.0,-1.0,1.0,19.583,19.486,19.23,27.354,32971.564,32807.506,32376.696,46054.867,-0.5782,0.9941,0.9943,2793913.0,1623501.0
4003.0,-1.0,-1.0,11.599,11.604,11.56,13.502,38907.396,38924.885,38777.831,45292.409,-0.3043,-0.5017,0.9962,22202818.0,13459009.0
2656.0,-1.0,1.0,23.606,23.592,23.54,23.883,59130.228,59094.95,58965.24,59822.44,-0.7477,0.9967,0.9976,6368603.0,4775972.0
5114.0,-1.0,5.0,13.79,13.749,13.63,15.849,143.077,142.656,141.416,164.446,-0.247,2.4239,0.9956,70458.0,35897.0
3741.0,-1.0,-1.0,10.071,10.083,10.092,11.839,32379.213,32417.565,32445.04,38063.98,-0.3998,-0.6701,0.9952,18317988.0,10924127.0
6388.0,-1.0,1.0,19.656,19.55,19.294,27.433,37023.571,36824.09,36342.434,51672.696,-0.5768,0.9932,0.9967,3137649.0,1821394.0
6543.0,-1.0,1.0,6.091,6.045,5.931,8.35,10108.973,10032.419,9844.322,13858.937,-0.2595,0.9956,0.9963,5388201.0,1400245.0
1842.0,5.0,-1.0,18.551,19.377,19.308,19.377,1337.946,1397.501,1392.566,1397.535,0.9974,-0.2014,0.997,294630.0,211980.0
4833.0,-1.0,1.0,11.168,11.302,11.275,13.146,18037.55,18253.261,18210.113,21230.681,-0.2076,0.9973,0.9935,4029684.0,832488.0
5924.0,-1.0,1.0,4.838,4.807,4.742,6.641,672.743,668.413,659.413,923.491,-0.1464,0.9879,0.9971,1757209.0,260484.0
4270.0,-1.0,-1.0,18.973,19.137,19.102,22.39,18649.534,18810.758,18776.097,22008.327,-0.057,-0.0899,0.9955,1932349.0,1226036.0
2425.0,-1.0,-1.0,13.294,13.987,13.862,14.013,46249.81,48660.794,48226.058,48750.515,-0.3347,-0.4699,0.9976,13285217.0,9459770.0
5881.0,-1.0,1.0,19.858,19.809,19.631,27.99,32878.867,32797.974,32502.359,46342.011,-0.2471,1.0,0.9971,833660.0,204646.0
5367.0,-1.0,3.0,22.954,23.0,22.846,26.745,20314.381,20355.455,20218.94,23669.979,-0.175,0.9991,0.9967,1406735.0,738232.0
4996.0,-1.0,-1.0,6.854,6.909,6.808,7.878,12112.528,12210.553,12031.389,13923.405,-0.2134,-0.4655,0.9967,19223188.0,8810129.0
2908.0,-1.0,-1.0,38.638,38.786,38.725,39.345,14621.411,14677.612,14654.531,14889.116,-0.1245,-0.489,0.0,51386.0,5100.0
5409.0,-1.0,1.0,8.004,8.018,7.959,9.271,13973.631,13998.776,13895.163,16185.198,-0.4382,0.9993,0.9972,3116248.0,1365700.0
2452.0,-1.0,-1.0,4.69,4.955,4.914,4.933,8477.68,8956.934,8882.085,8917.337,-0.2784,-0.3861,0.9978,2417573.0,1742751.0
4207.0,-1.0,-1.0,19.74,19.75,19.75,23.179,24106.582,24117.987,24118.341,28305.259,-0.1297,-0.1703,0.9954,1955368.0,1488537.0
5310.0,-1.0,1.0,19.257,19.284,19.126,22.416,32428.921,32475.039,32208.23,37749.401,-0.4309,0.9974,0.9969,7233237.0,3123587.0
6029.0,-1.0,1.0,5.607,5.577,5.537,7.785,148.155,147.359,146.317,205.718,-0.204,0.9991,0.9972,106459.0,21379.0
4844.0,-1.0,1.0,7.925,8.014,7.972,9.286,13017.406,13163.818,13093.607,15253.342,-0.2067,0.9986,0.9951,6981456.0,1442710.0
5953.0,-1.0,1.0,4.12,4.093,4.051,5.631,6610.201,6567.513,6499.402,9034.486,-0.0436,0.987,0.9944,59261574.0,2610696.0
4569.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3868.0,-1.0,-1.0,14.045,14.034,13.982,16.361,32533.883,32507.707,32386.841,37898.389,-0.0932,-0.1137,0.995,41369919.0,33930399.0
2621.0,-1.0,-1.0,4.966,4.985,4.961,4.991,6475.027,6499.643,6468.942,6507.928,-0.2153,-0.2987,0.9976,1760641.0,1268598.0
4074.0,1.0,-1.0,10.06,10.051,10.0,11.723,12222.522,12211.179,12149.74,14243.192,0.9798,-0.9841,0.9963,2531374.0,1837112.0
3736.0,-1.0,-1.0,26.253,26.293,26.37,30.931,3262.835,3267.778,3277.395,3844.153,-0.3853,-0.5947,0.9955,613026.0,397232.0
2784.0,-1.0,-1.0,30.711,30.652,30.502,30.911,23472.526,23427.439,23312.372,23625.452,-0.17,-0.2539,0.9975,1857180.0,1243801.0
3058.0,5.0,-1.0,9.59,9.664,9.595,11.052,11414.958,11502.897,11420.701,13155.212,0.9989,-0.2015,0.9975,9096863.0,5623084.0
1835.0,-1.0,-1.0,18.376,18.43,18.32,18.37,16502.187,16550.072,16451.368,16496.594,-0.2091,-0.2891,0.9973,3477840.0,2506118.0
6491.0,-1.0,1.0,11.096,11.046,10.902,15.468,19411.935,19324.314,19071.68,27060.582,-0.0939,0.9973,0.9848,10441078.0,980538.0
6534.0,-1.0,3.0,10.991,10.927,10.766,15.272,8998.307,8946.277,8813.904,12503.065,-0.1024,0.9999,0.9958,1548036.0,472708.0
1990.0,-1.0,-1.0,13.987,14.269,14.188,14.201,37602.889,38360.234,38143.338,38178.366,-0.1861,-0.2574,0.9974,7957120.0,5747309.0
3006.0,-1.0,-1.0,5.901,5.925,5.866,6.635,7281.634,7311.808,7238.858,8187.583,-0.2511,-0.4055,0.9976,5733011.0,3549055.0
5653.0,-1.0,1.0,16.586,16.506,16.377,23.367,7384.783,7349.224,7291.997,10404.39,-0.1856,1.0,0.9963,384699.0,65158.0
2111.0,-1.0,-1.0,9.26,9.343,9.333,9.338,13054.597,13171.586,13157.289,13164.467,-0.0826,-0.1015,0.9974,8838579.0,7191533.0
4744.0,-1.0,1.0,11.528,11.643,11.58,13.522,20451.124,20654.625,20543.668,23988.096,-0.2385,0.9997,0.997,2915815.0,694601.0
5098.0,-1.0,5.0,6.936,6.901,6.816,7.866,8763.295,8719.475,8612.072,9939.099,-0.0921,0.9988,0.996,13720457.0,6326000.0
6204.0,-1.0,1.0,19.219,19.12,18.884,26.871,33419.217,33247.967,32836.298,46726.276,-0.5782,0.9945,0.9959,2829705.0,1643513.0
4492.0,-1.0,1.0,9.9,9.906,9.911,11.643,21773.979,21785.262,21797.204,25607.154,-0.7157,0.9998,0.996,895647.0,638745.0
3836.0,-1.0,-1.0,19.544,19.574,19.606,22.977,22824.401,22859.791,22897.23,26834.557,-0.068,-0.0813,0.9945,11241346.0,9397821.0
5585.0,-1.0,1.0,9.922,9.866,9.776,13.899,17897.033,17796.041,17634.123,25070.772,-0.1807,0.9999,0.9964,1975092.0,350023.0
2921.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6667,-0.9744,0.0,0.0,0.0
2884.0,-1.0,-1.0,36.315,36.384,36.289,36.846,121881.482,122113.488,121796.001,123663.029,-0.3757,-0.9069,0.0,505076.0,156641.0
5420.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007,-0.0007,0.0,0.0,0.0
3993.0,-1.0,-1.0,19.052,19.154,19.057,22.214,28115.584,28265.621,28123.273,32781.682,-0.2131,-0.3222,0.9968,5432219.0,3588959.0
4537.0,-1.0,2.0,37.223,37.307,37.394,43.76,29198.699,29264.736,29332.809,34326.08,-0.3406,0.993,0.9943,1117512.0,764330.0
6077.0,-1.0,1.0,15.94,15.879,15.678,22.294,27566.567,27460.241,27113.302,38554.802,-0.2422,0.9953,0.9967,4987777.0,1211771.0
1735.0,-1.0,-1.0,14.223,14.274,14.247,14.262,33345.92,33466.146,33401.517,33436.179,-0.0817,-0.0995,0.9972,41991102.0,34481007.0
1690.0,-1.0,-1.0,13.566,14.075,14.008,14.032,34199.077,35482.412,35313.342,35373.417,-0.0612,-0.0744,0.9971,45018232.0,37030536.0
4259.0,-1.0,-1.0,37.052,37.554,37.59,44.093,32707.464,33150.339,33182.049,38922.68,-0.0466,-0.068,0.995,1254280.0,858461.0
3908.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6627.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.308,1.0,0.0,0.0,0.0
4409.0,-1.0,1.0,19.626,19.622,19.517,22.825,35567.465,35560.657,35371.139,41364.648,-0.6269,0.9857,0.9963,3645344.0,2309258.0
4924.0,-1.0,1.0,11.691,11.672,11.589,12.773,10059.614,10043.534,9971.916,10990.495,-0.2357,0.9963,0.997,1428818.0,337577.0
6149.0,-1.0,3.0,14.335,14.265,14.117,20.106,22982.431,22870.373,22632.99,32234.975,-0.0498,0.9988,0.9951,61007094.0,9116620.0
2497.0,-1.0,-1.0,14.487,14.504,14.406,14.597,1072.037,1073.257,1066.034,1080.115,-0.1472,-0.1952,0.9965,115213.0,86902.0
5833.0,-1.0,1.0,11.958,11.902,11.779,16.79,20237.014,20141.714,19934.365,28414.505,-0.1715,0.9998,0.9964,2224666.0,378349.0
5996.0,-1.0,1.0,15.824,15.771,15.582,22.15,28116.56,28023.764,27687.178,39358.449,-0.2417,0.9927,0.9964,5090702.0,1237067.0
4367.0,-1.0,1.0,19.44,19.41,19.273,22.51,65852.536,65751.858,65287.854,76253.076,-0.6302,0.9929,0.9969,6773990.0,4293748.0
4881.0,-1.0,1.0,11.338,11.428,11.349,13.192,20133.384,20293.912,20153.25,23426.039,-0.2398,0.9996,0.997,2877129.0,682270.0
