run,		Ps3,		Ps4,		BCM1I,		BCM2I,		BCM4AI,		BCM4CI,		BCM1Q,		BCM2Q,		BCM4AQ,		BCM4CQ,		Ps3HMSCLT,		Ps4HMSCLT,		trkEff,		hTRIG3,		hTRIG4
6229,		-1,		1,		17.962,		17.864,		17.655,		25.13,		20086.115,		19975.848,		19742.795,		28101.755,		-0.5404,		0.9994,		0.9954,		743192,		390143
4059,		-1,		1,		19.926,		19.927,		19.841,		23.212,		23835.266,		23836.307,		23733.474,		27766.376,		-0.759,		0.9974,		0.9968,		1961811,		1492918
6277,		-1,		1,		15.066,		14.97,		14.759,		20.982,		17486.492,		17374.267,		17130.411,		24352.354,		-0.585,		0.9983,		0.9947,		1485580,		870318
5620,		-1,		1,		10.107,		10.055,		9.957,		14.164,		5964.189,		5933.726,		5875.549,		8358.397,		-0.1787,		0.9999,		0.9963,		657877,		116569
4692,		-1,		1,		11.543,		11.705,		11.662,		13.626,		20454.756,		20742.221,		20666.148,		24146.221,		-0.2396,		0.9998,		0.9966,		2915299,		696556
5785,		1,		-1,		19.473,		19.376,		19.131,		27.246,		17653.628,		17565.312,		17343.383,		24700.172,		0.9985,		-0.9999,		0.997,		446270,		109608
6519,		-1,		1,		6.152,		6.112,		6.006,		8.456,		11993.754,		11915.778,		11709.59,		16485.543,		-0.2588,		0.9949,		0.9962,		6403123,		1661964
5298,		-1,		1,		18.906,		18.929,		18.775,		22.001,		31541.879,		31579.594,		31322.072,		36704.111,		-0.4312,		0.9975,		0.9967,		7039025,		3039989
4869,		-1,		1,		7.747,		7.83,		7.755,		8.997,		13577.191,		13722.824,		13590.649,		15768.296,		-0.2051,		0.9877,		0.9967,		7289610,		1506987
6004,		-1,		1,		8.076,		8.039,		7.93,		11.25,		12813.314,		12756.036,		12582.993,		17850.476,		-0.2099,		0.9987,		0.9961,		3371209,		702824
5453,		-1,		1,		9.754,		9.806,		9.738,		11.393,		17114.825,		17206.122,		17086.719,		19990.91,		-0.4358,		0.9988,		0.9967,		3828738,		1668269
6452,		-1,		1,		11.038,		10.964,		10.818,		15.355,		17458.507,		17340.092,		17110.058,		24286.33,		-0.3086,		0.9967,		0.9969,		2805451,		862335
6299,		-1,		1,		18.89,		18.788,		18.543,		26.368,		37366.877,		37166.059,		36681.188,		52160.679,		-0.5791,		0.994,		0.9954,		3164698,		1838359
2819,		-1,		1,		22.759,		22.716,		22.589,		22.899,		52610.779,		52511.36,		52217.107,		52934.685,		-0.7581,		0.9981,		0.9975,		4539146,		3446197
5835,		-1,		1,		12.072,		12.018,		11.892,		16.953,		20758.428,		20665.405,		20449.504,		29151.268,		-0.1726,		0.9997,		0.9962,		2281140,		389593
4922,		-1,		1,		5.892,		5.88,		5.826,		6.269,		7097.013,		7082.751,		7018.228,		7551.778,		-0.2548,		0.9999,		0.9972,		1018423,		258573
5276,		-1,		1,		9.655,		9.671,		9.577,		11.211,		10257.429,		10274.154,		10174.331,		11909.657,		-0.4373,		0.9986,		0.9969,		2290881,		1001452
5990,		-1,		1,		15.796,		15.708,		15.51,		22.058,		28761.859,		28602.486,		28242.064,		40163.698,		-0.2425,		0.9935,		0.9963,		5184356,		1260576
6111,		-1,		1,		15.985,		15.906,		15.689,		22.315,		29495.511,		29349.754,		28948.617,		41175.121,		-0.2425,		0.9968,		0.9967,		5335679,		1295698
5546,		-1,		1,		10.071,		9.999,		9.857,		13.989,		16615.757,		16497.137,		16263.183,		23079.743,		-0.1916,		0.9999,		0.9976,		1835516,		324696
3950,		-1,		-1,		39.083,		39.203,		38.998,		45.425,		35754.093,		35864.293,		35677.184,		41555.995,		-0.0455,		-0.0612,		0.9968,		3631518,		2699670
1585,		17,		-1,		18.834,		18.868,		18.819,		18.858,		25514.885,		25560.476,		25494.547,		25546.743,		0.9875,		-0.0589,		0.9973,		32281064,		26319398
6362,		-1,		1,		18.626,		18.544,		18.319,		26.028,		29866.877,		29735.011,		29374.735,		41735.12,		-0.5261,		0.9993,		0.9964,		1104958,		578820
4622,		-1,		1,		2.21,		2.236,		2.259,		2.608,		2939.945,		2974.534,		3005.536,		3469.858,		-0.2303,		0.9999,		0.9972,		1511987,		346429
2077,		5,		-1,		7.017,		7.389,		7.339,		7.331,		125.051,		131.686,		130.794,		130.654,		1.0114,		-0.2043,		0.9975,		225346,		179307
5690,		-1,		1,		9.88,		9.829,		9.746,		13.862,		16721.458,		16634.928,		16493.323,		23459.591,		-0.1794,		0.9999,		0.9959,		1843442,		326478
4787,		-1,		1,		11.522,		11.62,		11.508,		13.379,		9456.081,		9535.802,		9444.644,		10979.352,		-0.2381,		0.9996,		0.9973,		1351629,		320796
4072,		-1,		1,		9.916,		9.907,		9.857,		11.555,		11812.872,		11801.914,		11743.292,		13765.84,		-0.7251,		0.9985,		0.9963,		2448207,		1777442
6497,		-1,		1,		6.26,		6.209,		6.107,		8.597,		7257.609,		7198.296,		7080.725,		9968.03,		-0.0905,		0.9926,		0.9924,		11707230,		1045543
6532,		-1,		1,		9.091,		9.031,		8.898,		12.624,		10598.379,		10528.295,		10373.733,		14717.357,		-0.3096,		0.9979,		0.9963,		1829311,		565566
5316,		-1,		1,		27.607,		27.699,		27.492,		32.228,		46531.546,		46686.424,		46338.514,		54321.45,		-0.5249,		0.9975,		0.997,		3201626,		1682300
5955,		-1,		1,		4.176,		4.149,		4.099,		5.703,		7019.057,		6973.219,		6889.082,		9584.158,		-0.1483,		0.99,		0.9969,		18208247,		2722416
4842,		-1,		1,		7.925,		8.014,		7.973,		9.289,		14260.148,		14420.982,		14347.347,		16715.972,		-0.2071,		1.0016,		0.9951,		7646028,		1580618
6741,		-1,		1,		10.117,		10.119,		9.949,		14.098,		17407.955,		17411.317,		17118.524,		24256.646,		-0.1965,		1.0,		0.9974,		940618,		180952
5583,		-1,		1,		10.225,		10.166,		10.049,		14.291,		6350.871,		6314.338,		6241.906,		8876.531,		-0.1803,		0.9999,		0.9966,		699368,		122876
5426,		-1,		1,		17.271,		17.27,		17.172,		20.109,		31050.334,		31047.434,		30871.048,		36152.381,		-0.5304,		0.9996,		0.9972,		2167091,		1148047
1733,		9,		-1,		9.275,		9.693,		9.665,		9.672,		10735.348,		11219.341,		11186.896,		11194.658,		0.9999,		-0.1116,		0.9974,		5702278,		4796178
6071,		-1,		2,		8.093,		8.05,		7.943,		11.267,		6731.589,		6696.36,		6606.984,		9371.76,		-0.0995,		0.9928,		0.9964,		4883845,		976423
2117,		9,		-1,		13.957,		13.97,		13.974,		13.995,		16187.589,		16202.711,		16207.209,		16232.557,		0.9994,		-0.1118,		0.9974,		10910791,		8859384
4742,		-1,		1,		11.269,		11.391,		11.338,		13.235,		19025.895,		19231.535,		19140.948,		22344.474,		-0.2418,		0.9997,		0.9971,		2714555,		647780
6202,		-1,		1,		19.557,		19.454,		19.199,		27.31,		32890.469,		32717.966,		32289.009,		45930.147,		-0.5761,		0.9928,		0.996,		2781650,		1612971
6544,		-1,		1,		6.243,		6.195,		6.09,		8.579,		11047.178,		10962.659,		10775.718,		15180.322,		-0.2589,		0.996,		0.9963,		5892227,		1530609
5360,		-1,		1,		22.904,		22.943,		22.785,		26.647,		35765.444,		35826.005,		35580.528,		41610.091,		-0.5263,		0.9993,		0.997,		2478964,		1301165
5886,		-1,		1,		11.929,		11.895,		11.77,		16.764,		19649.42,		19594.77,		19388.716,		27614.318,		-0.1905,		1.0,		0.9972,		1040584,		192550
4277,		-1,		1,		19.089,		19.165,		19.123,		22.408,		22229.517,		22318.767,		22269.479,		26094.653,		-0.6995,		0.9991,		0.9964,		868895,		607605
2587,		-1,		1,		9.697,		9.679,		9.629,		9.758,		23053.75,		23010.979,		22891.997,		23199.713,		-0.713,		0.9965,		0.9974,		6273552,		4488112
5923,		-1,		1,		5.322,		5.289,		5.202,		7.303,		863.498,		858.108,		844.083,		1184.972,		-0.1467,		0.9892,		0.9969,		2263404,		335750
6059,		-1,		1,		8.223,		8.178,		8.056,		11.437,		14957.307,		14875.021,		14652.497,		20802.777,		-0.1981,		0.9909,		0.9965,		10857636,		2167798
4834,		-1,		1,		7.797,		7.888,		7.853,		9.146,		8587.418,		8687.427,		8648.272,		10073.026,		-0.2132,		0.9996,		0.9939,		1920238,		407794
6769,		-1,		1,		18.275,		18.295,		18.018,		25.607,		31377.17,		31411.917,		30936.042,		43966.586,		-0.2331,		1.0,		0.9972,		1073293,		248131
5450,		-1,		1,		9.712,		9.758,		9.687,		11.332,		10766.199,		10817.587,		10738.659,		12561.755,		-0.4376,		0.9981,		0.9967,		2411551,		1050032
6007,		-1,		1,		8.031,		7.999,		7.884,		11.179,		13120.295,		13067.915,		12878.964,		18261.455,		-0.2098,		0.9973,		0.9963,		3459881,		721621
5786,		-1,		1,		16.332,		16.241,		16.033,		22.821,		26474.42,		26325.531,		25989.747,		36992.222,		-0.1745,		1.0,		0.9972,		1381145,		234396
4691,		-1,		1,		11.45,		11.602,		11.563,		13.512,		19936.936,		20202.251,		20133.717,		23527.535,		-0.2475,		0.9998,		0.9964,		2839456,		677529
4734,		-1,		1,		11.618,		11.73,		11.665,		13.624,		19935.95,		20128.191,		20016.973,		23378.618,		-0.2445,		0.9997,		0.9967,		2829755,		674404
5623,		-1,		1,		10.293,		10.24,		10.138,		14.427,		7535.343,		7496.89,		7422.215,		10561.919,		-0.1762,		0.9999,		0.9964,		830419,		145859
6274,		-1,		1,		19.284,		19.173,		18.915,		26.905,		32095.819,		31910.82,		31482.02,		44779.544,		-0.5768,		0.9928,		0.9944,		2715180,		1575844
2694,		1,		-1,		6.749,		6.729,		6.678,		6.734,		8148.222,		8124.181,		8062.833,		8130.458,		0.9722,		-0.9748,		0.9976,		2211540,		1585623
5843,		-1,		1,		19.998,		19.904,		19.716,		28.125,		37562.224,		37386.839,		37034.109,		52828.486,		-0.2506,		1.0,		0.996,		946069,		232258
6139,		-1,		1,		8.327,		8.292,		8.17,		11.612,		14452.407,		14391.733,		14178.636,		20153.065,		-0.1979,		0.9901,		0.9964,		10497255,		2097270
3455,		-1,		1,		18.555,		19.44,		19.376,		22.293,		21483.103,		22507.452,		22433.17,		25810.048,		-0.6681,		0.9997,		0.9976,		694920,		464136
